2024-08-15 00:29:41,320 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:173 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2024-08-15 00:29:50,462 [main] INFO treasure2 | TreasureTags.java:129 | in tags updated event
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:stone_key by rarity -> COMMON
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:leaf_key by rarity -> UNCOMMON
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:gold_key by rarity -> SCARCE
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:diamond_key by rarity -> RARE
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:thiefs_lock_pick by rarity -> UNCOMMON
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:ember_key by rarity -> SCARCE
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:wood_key by rarity -> COMMON
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:metallurgists_key by rarity -> RARE
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:skeleton_key by rarity -> RARE
2024-08-15 00:29:50,464 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:jewelled_key by rarity -> EPIC
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:ruby_key by rarity -> EPIC
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:onyx_key by rarity -> SCARCE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:emerald_key by rarity -> RARE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:lightning_key by rarity -> SCARCE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:topaz_key by rarity -> SCARCE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:sapphire_key by rarity -> EPIC
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:pilferers_lock_pick by rarity -> COMMON
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:iron_key by rarity -> UNCOMMON
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:wither_key by rarity -> RARE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:spider_key by rarity -> SCARCE
2024-08-15 00:29:50,465 [main] INFO treasure2 | TreasureTags.java:146 | registering key -> treasure2:one_key by rarity -> MYTHICAL
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:onyx_lock by rarity -> SCARCE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:spider_lock by rarity -> SCARCE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:emerald_lock by rarity -> RARE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:ruby_lock by rarity -> EPIC
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:stone_lock by rarity -> COMMON
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:leaf_lock by rarity -> UNCOMMON
